ImageNumber	ObjectNumber	AreaShape_BoundingBoxMaximum_X	AreaShape_BoundingBoxMaximum_Y	AreaShape_BoundingBoxMaximum_Z	AreaShape_BoundingBoxMinimum_X	AreaShape_BoundingBoxMinimum_Y	AreaShape_BoundingBoxMinimum_Z	AreaShape_BoundingBoxVolume	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Center_Z	AreaShape_EquivalentDiameter	AreaShape_EulerNumber	AreaShape_Extent	AreaShape_MajorAxisLength	AreaShape_MinorAxisLength	AreaShape_SurfaceArea	AreaShape_Volume	Children_filtered_segmented_cytoplasm_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number
1	1	174	16	4	146	0	0	1792	157.8012048192771	4.971887550200803	0.5542168674698795	9.834302739216675	0	0.2779017857142857	28.236046908271	14.80102462175511	378.5527038574219	498	1	157.8012048192771	4.971887550200803	0.5542168674698795	1
1	2	208	43	10	174	0	0	14620	192.1351856799359	18.481298423724287	4.224151749933209	24.27077999068989	0	0.5120383036935705	49.625392580907054	26.44273864973174	1480.23828125	7486	1	192.1351856799359	18.481298423724287	4.224151749933209	2
1	3	61	59	10	0	7	0	31720	26.715727948990434	31.620970598653916	2.6393907190931634	22.09262989663803	-1	0.1779949558638083	82.04625162229479	35.357545888562925	3068.5107421875	5646	4	26.715727948990434	31.620970598653916	2.6393907190931634	3
1	4	90	84	8	69	64	0	3360	78.99556541019956	74.63192904656319	3.494456762749446	9.51464611403477	1	0.13422619047619047	24.44546884364826	13.891594888649646	651.10302734375	451	1	78.99556541019956	74.63192904656319	3.494456762749446	4
1	5	200	108	3	182	86	0	1188	191.51372549019607	97.45490196078431	0.6058823529411764	9.912667021131277	1	0.4292929292929293	24.723138508157497	15.361054267887004	390.4371032714844	510	1	191.51372549019607	97.45490196078431	0.6058823529411764	5
1	6	1602	292	6	1570	256	0	6912	1585.6702747710242	271.8179295031918	1.7918401332223148	19.020497840908874	1	0.5212673611111112	44.12841887263005	28.62718394057412	1280.92919921875	3603	0	1585.6702747710242	271.8179295031918	1.7918401332223148	6
1	7	1453	419	10	1419	381	0	12920	1436.6425487568856	399.18475509900253	5.278398094387375	23.40950561830321	1	0.5198916408668731	46.72693729736196	32.01663118947006	1963.8116455078125	6717	1	1436.6425487568856	399.18475509900253	5.278398094387375	7
1	8	1422	443	10	1390	398	0	14400	1403.9129411764707	422.60261437908497	4.703790849673203	19.403389679354294	-2	0.265625	47.18681722827164	24.176836541053945	2427.926513671875	3825	2	1403.9129411764707	422.60261437908497	4.703790849673203	8
1	9	1512	441	1	1510	437	0	8	1510.8	438.8	0.0	2.1215688358941103	1	0.625	4.931531202375181	1.3492529674978493	14.181432723999023	5	1	1510.8	438.8	0.0	9
1	10	1536	504	7	1500	467	0	9324	1517.253466872111	484.7480739599384	1.8312788906009245	19.519369035020663	1	0.41763191763191765	45.57396000100813	29.414137790181456	1453.9293212890625	3894	2	1517.253466872111	484.7480739599384	1.8312788906009245	10
1	11	2005	503	10	1971	464	0	13260	1986.689731850883	483.3310660562459	4.155264879005887	24.441411848593265	1	0.5765460030165912	46.494406083755415	30.934435232026903	1641.33056640625	7645	1	1986.689731850883	483.3310660562459	4.155264879005887	11
1	12	1428	545	10	1363	488	0	37050	1393.252515950799	516.8045122673157	4.39005459448793	30.735731789417635	-3	0.4103373819163293	74.50276194549477	47.13809741803054	3251.48974609375	15203	4	1393.252515950799	516.8045122673157	4.39005459448793	12
1	13	1595	514	3	1581	498	0	672	1587.0457142857142	504.13142857142856	1.582857142857143	6.939792343839249	1	0.2604166666666667	19.43676675209323	8.91477827252783	342.1148681640625	175	0	1587.0457142857142	504.13142857142856	1.582857142857143	13
1	14	1469	548	4	1441	526	0	2464	1454.7926421404682	537.2028985507246	1.109253065774805	11.965511639748833	0	0.3640422077922078	33.4899112687185	19.573882188038645	770.414306640625	897	1	1454.7926421404682	537.2028985507246	1.109253065774805	14
1	15	1446	550	4	1431	532	0	1080	1437.4963503649635	541.2901459854014	1.3302919708029197	10.152990474356352	1	0.5074074074074074	20.202118243247714	13.625641329637922	376.804443359375	548	1	1437.4963503649635	541.2901459854014	1.3302919708029197	15
1	16	9	559	1	7	558	0	2	7.5	558.0	0.0	1.563185283593544	1	1.0	2.0	0.0	6.2925286293029785	2	0	7.5	558.0	0.0	16
1	17	1938	619	10	1903	562	0	19950	1920.2822214460357	592.5079753172663	4.387006636395389	25.40863454689804	1	0.4305263157894737	57.83203475906659	31.454021545100574	2100.53515625	8589	1	1920.2822214460357	592.5079753172663	4.387006636395389	17
1	18	1548	585	3	1531	567	0	918	1539.3833333333334	575.4194444444445	0.39166666666666666	8.826082030068797	1	0.39215686274509803	22.13381229792677	14.503037354262124	298.8816223144531	360	2	1539.3833333333334	575.4194444444445	0.39166666666666666	18
1	19	10	597	6	0	575	0	1320	3.1454046639231823	584.1522633744856	2.5034293552812072	11.166308836189199	1	0.5522727272727272	21.47831272295047	11.200463885287824	340.46142578125	729	1	3.1454046639231823	584.1522633744856	2.5034293552812072	19
1	20	1915	637	10	1878	598	0	14430	1895.740473738414	617.4352471678682	3.73802780638517	24.57179395190556	1	0.5383229383229383	48.21868281874431	29.321578386613695	1494.2354736328125	7768	0	1895.740473738414	617.4352471678682	3.73802780638517	20
1	21	1954	645	10	1911	605	0	17200	1932.0717497018074	626.3010367923663	4.628681530415634	27.508231892456447	0	0.6336627906976744	53.89990804845992	36.65560462434227	1515.03369140625	10899	1	1932.0717497018074	626.3010367923663	4.628681530415634	21
1	22	1739	660	10	1696	609	0	21930	1717.405280697257	633.2528411518414	4.594975647269931	28.168660415845753	1	0.5336525307797537	60.74606831660688	40.634607326524126	2229.547607421875	11703	2	1717.405280697257	633.2528411518414	4.594975647269931	22
1	23	1702	653	10	1649	622	0	16430	1675.4738730307283	636.8065824364373	3.104507877086258	23.04848504272883	1	0.3902008520998174	62.71307848945653	25.855948994588882	2453.9365234375	6411	4	1675.4738730307283	636.8065824364373	3.104507877086258	23
1	24	60	637	10	30	585	0	15600	44.5667253078663	613.3051017843679	6.404624277456647	19.66037386891815	-1	0.25506410256410256	46.18209886781303	27.827033533654898	2048.11328125	3979	2	44.5667253078663	613.3051017843679	6.404624277456647	24
1	25	1841	675	4	1820	653	0	1848	1830.1818181818182	664.3065268065268	0.8228438228438228	11.7895226687927	1	0.4642857142857143	28.004413146175455	18.832123200098568	519.061279296875	858	1	1830.1818181818182	664.3065268065268	0.8228438228438228	25
1	26	1862	695	1	1849	683	0	156	1853.1509433962265	688.1509433962265	0.0	4.6604274231789296	1	0.33974358974358976	18.036314777841866	6.393167364826244	93.461181640625	53	0	1853.1509433962265	688.1509433962265	0.0	26
1	27	1659	718	7	1634	689	0	5075	1646.2880107166777	701.8526456798393	2.7454789015405225	14.18035364229365	-2	0.2941871921182266	34.35178536927893	22.7599250255083	1356.342529296875	1493	1	1646.2880107166777	701.8526456798393	2.7454789015405225	27
1	28	1892	725	10	1864	696	0	8120	1876.7801920161698	708.7473471450228	5.313542193026781	19.625725605501792	1	0.4874384236453202	36.12297598641882	24.599997647568003	1288.871337890625	3958	1	1876.7801920161698	708.7473471450228	5.313542193026781	28
1	29	3132	710	1	3124	705	0	40	3127.8260869565215	706.9130434782609	0.0	3.5283885540070252	1	0.575	9.404177971892713	3.864658815438913	43.2305908203125	23	1	3127.8260869565215	706.9130434782609	0.0	29
1	30	1651	743	6	1623	712	0	5208	1637.1450094161958	726.4331450094162	1.4712806026365348	15.948455466409484	1	0.4078341013824885	38.69849666347193	23.620464953361424	1030.2962646484375	2124	1	1637.1450094161958	726.4331450094162	1.4712806026365348	30
1	31	38	743	1	27	730	0	143	31.694915254237287	735.6440677966102	0.0	4.830044475313164	1	0.4125874125874126	15.20065920341378	7.25548841811149	97.59346008300781	59	0	31.694915254237287	735.6440677966102	0.0	31
1	32	3152	748	1	3151	747	0	1	3151.0	747.0	0.0	1.2407009817988	1	1.0	0.0	0.0	3.464101552963257	1	1	3151.0	747.0	0.0	32
1	33	1937	788	10	1874	753	0	22050	1901.6365306872474	770.6534362366777	4.18228592429254	24.981416378989238	0	0.37020408163265306	56.99796370850283	30.765231130948376	2212.59814453125	8163	3	1901.6365306872474	770.6534362366777	4.18228592429254	33
1	34	3088	786	2	3064	764	0	1056	3074.525	775.15	0.1075	9.141562994681664	1	0.3787878787878788	30.02912564923784	18.591216453738088	451.4878234863281	400	1	3074.525	775.15	0.1075	34
1	35	3584	821	6	3555	795	0	4524	3568.628999594978	807.2195220737141	1.897124341838801	16.76901252884518	1	0.5457559681697612	36.33798222570562	23.848631269379165	965.3548583984375	2469	2	3568.628999594978	807.2195220737141	1.897124341838801	35
1	36	1845	818	1	1837	811	0	56	1841.32	813.28	0.0	3.627831678597809	1	0.44642857142857145	9.549198919281135	5.105278663127803	47.09832000732422	25	0	1841.32	813.28	0.0	36
1	37	1885	863	8	1839	826	0	13616	1859.9797171832595	844.1618340237109	2.4870732752463933	23.73488609083417	1	0.5141745005875441	54.106451115037736	34.16306110749212	2125.005126953125	7001	2	1859.9797171832595	844.1618340237109	2.4870732752463933	37
1	38	3587	847	2	3563	829	0	864	3572.8739002932552	836.516129032258	0.25513196480938416	8.66799367132167	1	0.39467592592592593	29.36708110505233	15.46805329618898	392.9192199707031	341	2	3572.8739002932552	836.516129032258	0.25513196480938416	38
1	39	3553	922	10	3481	866	0	40320	3512.038414048566	886.9896419261902	3.9626148991631225	30.308639435972587	1	0.3615575396825397	73.78954595306976	40.6521117925778	2926.4052734375	14578	3	3512.038414048566	886.9896419261902	3.9626148991631225	39
1	40	1898	922	10	1827	861	0	43310	1858.9804744069913	893.8790012484394	5.05792759051186	33.69183259560286	0	0.46236435003463405	85.96576301159617	45.683037280356224	3797.53662109375	20025	2	1858.9804744069913	893.8790012484394	5.05792759051186	40
1	41	1841	911	10	1789	855	0	29120	1813.6025669894168	884.580725061923	4.822562485926593	29.41267123201856	1	0.4575206043956044	66.83704222366009	39.54892822605642	2604.919921875	13323	4	1813.6025669894168	884.580725061923	4.822562485926593	41
1	42	1764	892	1	1762	889	0	6	1762.25	890.0	0.0	1.969490043685393	1	0.6666666666666666	3.3166247903554	1.7320508075688772	10.756629943847656	4	1	1762.25	890.0	0.0	42
1	43	3692	912	5	3671	890	0	2310	3683.638592750533	900.7441364605544	1.7814498933901919	12.145108678085549	0	0.40606060606060607	25.999330262358548	16.87487596342292	712.6796264648438	938	2	3683.638592750533	900.7441364605544	1.7814498933901919	43
1	44	2057	925	10	2009	894	0	14880	2031.70805745136	908.7096872771723	4.249057756952226	26.566033924274475	1	0.659744623655914	53.6920703064694	30.756680018742703	1626.822265625	9817	2	2031.70805745136	908.7096872771723	4.249057756952226	44
1	45	3635	900	2	3633	897	0	12	3633.4285714285716	898.0	0.14285714285714285	2.3733755965792427	1	0.5833333333333334	3.6697390525978	2.4243661069253064	16.317106246948242	7	0	3633.4285714285716	898.0	0.14285714285714285	45
1	46	3713	914	3	3699	903	0	462	3705.820895522388	907.4925373134329	0.6567164179104478	5.039166715846006	1	0.14502164502164502	19.051355157883958	5.08860954392374	138.56765747070312	67	0	3705.820895522388	907.4925373134329	0.6567164179104478	46
1	47	1737	952	10	1684	920	0	16960	1705.7612814330002	932.9927661040304	4.755540245722815	25.5264187522736	1	0.513502358490566	53.03720433380218	29.422818695651404	1942.24365234375	8709	3	1705.7612814330002	932.9927661040304	4.755540245722815	47
1	48	1797	962	7	1765	924	0	8512	1781.1776420605418	943.7541157727031	1.8433351035581518	19.30310758144291	1	0.44243421052631576	44.434762955769905	29.67039414184797	1365.26953125	3766	2	1781.1776420605418	943.7541157727031	1.8433351035581518	48
1	49	3625	933	3	3620	926	0	105	3621.840909090909	929.3863636363636	0.36363636363636365	4.380106645730805	1	0.41904761904761906	8.987150411944935	5.163374397606183	65.47250366210938	44	1	3621.840909090909	929.3863636363636	0.36363636363636365	49
1	50	2183	967	10	2147	931	0	12960	2164.7507231794743	947.0232675135203	5.1671487863161865	24.763253890981417	1	0.613503086419753	47.42537376412269	33.14681247398414	1508.987060546875	7951	1	2164.7507231794743	947.0232675135203	5.1671487863161865	50
1	51	3608	964	10	3571	925	0	14430	3589.346495255586	943.1997245179064	6.047444138353229	23.19495330795956	1	0.45280665280665283	48.25549232126718	33.908976662157876	1776.1976318359375	6534	1	3589.346495255586	943.1997245179064	6.047444138353229	51
1	52	3573	1031	10	3511	949	0	50840	3544.3262235764614	982.9857646162636	3.6981527328127974	34.232172538761844	1	0.4131392604248623	88.39899677785795	49.418768757801224	4635.9453125	21004	7	3544.3262235764614	982.9857646162636	3.6981527328127974	52
1	53	1735	996	3	1705	966	0	2700	1720.7031835205992	980.9119850187266	0.6123595505617978	12.682091340596205	1	0.39555555555555555	36.136053403517785	20.04551020826273	707.2799072265625	1068	0	1720.7031835205992	980.9119850187266	0.6123595505617978	53
1	54	2086	1015	7	2062	980	0	5880	2073.0927306616964	998.2586206896551	1.760950605778192	16.003330159046236	1	0.36496598639455785	38.93161116744724	18.04597957533716	943.10546875	2146	1	2073.0927306616964	998.2586206896551	1.760950605778192	54
1	55	2712	1040	3	2681	1006	0	3162	2695.250382848392	1022.4318529862175	0.5099540581929556	13.56172243585131	1	0.41302972802024035	39.98319339601969	25.080296609738213	916.281494140625	1306	0	2695.250382848392	1022.4318529862175	0.5099540581929556	55
1	56	2109	1054	10	2066	995	0	25370	2082.4181433483204	1030.3562549590056	5.165829145728643	24.352638215770895	-5	0.2980685849428459	57.29463138779145	34.660827285293614	2514.4150390625	7562	5	2082.4181433483204	1030.3562549590056	5.165829145728643	56
1	57	2828	1056	5	2794	1021	0	5950	2810.079635258359	1037.9434650455928	1.5559270516717325	18.4529480269222	1	0.5529411764705883	43.32757492470655	30.28804895854478	1201.9228515625	3290	0	2810.079635258359	1037.9434650455928	1.5559270516717325	57
1	58	2919	1083	10	2859	1036	0	28200	2883.894537052319	1057.991582769434	5.514606370688233	28.497763322839546	1	0.4297163120567376	69.93413881183119	35.73475828671042	2442.62939453125	12118	4	2883.894537052319	1057.991582769434	5.514606370688233	58
1	59	38	1076	7	2	1045	0	7812	19.665344571145265	1058.988596926128	2.1948438274665345	19.750545290882684	1	0.5163850486431132	43.951227342266264	27.60665336708288	1350.0947265625	4034	2	19.665344571145265	1058.988596926128	2.1948438274665345	59
1	60	985	1119	10	931	1057	0	33480	965.6403843436484	1088.7982195845698	3.6078846969054683	23.82046258629511	1	0.2113799283154122	64.98029795861736	30.55843888497857	2436.915771484375	7077	2	965.6403843436484	1088.7982195845698	3.6078846969054683	60
1	61	1933	1096	8	1902	1058	0	9424	1916.7285	1075.2955	2.36675	19.694900436853928	1	0.4244482173174873	42.077899123449576	24.932989851403036	1244.680419921875	4000	2	1916.7285	1075.2955	2.36675	61
1	62	2944	1098	2	2925	1081	0	646	2933.3061224489797	1088.091836734694	0.015306122448979591	7.20696616269135	0	0.30340557275541796	23.577917952861515	13.02880126149456	255.61997985839844	196	1	2933.3061224489797	1088.091836734694	0.015306122448979591	62
1	63	46	1107	9	10	1081	0	8424	25.729342327150086	1093.067172568859	3.6357504215851604	18.94097978100231	1	0.42236467236467234	40.81334760767301	22.43250633609949	1669.220458984375	3558	2	25.729342327150086	1093.067172568859	3.6357504215851604	63
1	64	1033	1125	10	982	1081	0	22440	1007.4437985904236	1102.7533967884908	4.603792777737412	29.73296109023376	0	0.6133244206773618	61.87843359409419	38.77784786656012	1917.110595703125	13763	1	1007.4437985904236	1102.7533967884908	4.603792777737412	64
1	65	963	1141	10	927	1086	0	19800	945.3893650516005	1110.9317824033585	4.559296834003848	27.951161219907856	0	0.5774747474747475	58.10533208218604	33.85520153683885	1834.132568359375	11434	1	945.3893650516005	1110.9317824033585	4.559296834003848	65
1	66	1993	1130	4	1968	1096	0	3400	1979.1132437619963	1111.1247600767754	1.1746641074856046	14.398595079999666	1	0.4597058823529412	34.56691492844449	20.871916577989403	751.9837036132812	1563	0	1979.1132437619963	1111.1247600767754	1.1746641074856046	66
1	67	2558	1158	10	2520	1098	0	22800	2538.3625702015197	1120.2129996696399	3.9579616782292697	28.489922203325637	1	0.5310526315789473	62.0143320176221	36.89940093371019	1991.349609375	12108	3	2538.3625702015197	1120.2129996696399	3.9579616782292697	67
1	68	1993	1130	4	1984	1118	0	432	1987.3147410358565	1122.3545816733067	0.9760956175298805	7.826333789007012	1	0.5810185185185185	15.25490910707861	9.746756125924918	196.98016357421875	251	1	1987.3147410358565	1122.3545816733067	0.9760956175298805	68
1	69	1043	1173	10	977	1124	0	32340	1016.2112462006079	1148.8396256598944	4.974084146536554	28.795654719305404	0	0.3865800865800866	76.75764748140013	36.8161579093133	2763.21923828125	12502	2	1016.2112462006079	1148.8396256598944	4.974084146536554	69
1	70	2901	1151	3	2874	1124	0	2187	2887.977564102564	1138.246794871795	0.5576923076923077	12.136470617790135	1	0.4279835390946502	33.548871494734094	21.896269600593946	662.8673706054688	936	2	2887.977564102564	1138.246794871795	0.5576923076923077	70
1	71	2522	1165	7	2478	1128	0	11396	2499.2047315741584	1146.6466484683044	2.5579314528359114	23.265734806543335	1	0.5786240786240786	51.82379721116251	32.17610858614929	1847.2178955078125	6594	1	2499.2047315741584	1146.6466484683044	2.5579314528359114	71
1	72	955	1182	10	922	1127	0	18150	933.5817699115045	1150.0787610619468	2.707079646017699	22.097845958665545	1	0.31129476584022037	57.529758402990254	25.717052889085796	2050.431640625	5650	2	933.5817699115045	1150.0787610619468	2.707079646017699	72
1	73	1963	1176	10	1915	1133	0	20640	1936.7328853422932	1154.6455270894583	5.647627047459051	26.29906175050997	1	0.4614341085271318	59.08507656169472	32.38237667433809	2350.830078125	9524	1	1936.7328853422932	1154.6455270894583	5.647627047459051	73
1	74	1021	1210	10	976	1170	0	18000	998.4515389979082	1191.2061958362387	5.2700468174120925	26.764796395263243	0	0.5577222222222222	55.22048956618588	35.923178192246155	1970.0263671875	10039	2	998.4515389979082	1191.2061958362387	5.2700468174120925	74
1	75	1082	1216	2	1057	1192	0	1200	1069.1525885558583	1203.4877384196186	0.38283378746594005	11.19177951941222	1	0.6116666666666667	32.296282394191905	21.476594059676437	576.6304931640625	734	0	1069.1525885558583	1203.4877384196186	0.38283378746594005	75
1	76	968	1218	2	938	1193	0	1500	953.4129554655871	1203.248987854251	0.09716599190283401	9.80790179947727	-1	0.3293333333333333	34.03483293304762	22.047956788351588	573.310302734375	494	1	953.4129554655871	1203.248987854251	0.09716599190283401	76
1	77	2543	1234	8	2510	1198	0	9504	2526.114778144481	1213.9594792812616	2.736890355702237	21.839306184462504	1	0.5738636363636364	46.08906815603742	29.757586215483567	1593.567626953125	5454	2	2526.114778144481	1213.9594792812616	2.736890355702237	77
1	78	58	1240	10	21	1200	0	14800	39.86627371523301	1221.0762571375944	6.249217167065758	21.805886125233357	-1	0.3668243243243243	48.07377027547362	27.495214323096526	1677.123046875	5429	1	39.86627371523301	1221.0762571375944	6.249217167065758	78
1	79	1096	1275	10	1040	1215	0	33600	1064.153549754359	1252.8377805606397	2.8465465754744246	27.065342228488895	1	0.30895833333333333	72.35558407054293	43.74313221004377	3270.08203125	10381	3	1064.153549754359	1252.8377805606397	2.8465465754744246	79
1	80	2328	1307	10	2274	1240	0	36180	2299.8851523236335	1264.244648507787	4.263138301172675	31.339725955021574	0	0.44546710889994473	68.09712799990315	43.382130449089495	2256.822265625	16117	3	2299.8851523236335	1264.244648507787	4.263138301172675	80
1	81	2495	1278	10	2453	1242	0	15120	2473.8770396883883	1259.4047794504684	3.9039898936730184	26.2760303678753	1	0.6282407407407408	51.7461120485374	33.501344628537026	1642.78466796875	9499	2	2473.8770396883883	1259.4047794504684	3.9039898936730184	81
1	82	1096	1255	5	1082	1243	0	840	1088.0281690140846	1249.476861167002	1.5331991951710262	9.827715796362382	1	0.5916666666666667	18.349902822913624	11.014058666139245	298.33575439453125	497	0	1088.0281690140846	1249.476861167002	1.5331991951710262	82
1	83	961	1257	1	958	1254	0	9	959.0	1255.1666666666667	0.0	2.254503303573653	1	0.6666666666666666	4.268749491621899	1.8856180831641272	14.585055351257324	6	0	959.0	1255.1666666666667	0.0	83
1	84	2623	1296	10	2583	1246	0	20000	2602.062086513995	1272.4798982188295	3.7214249363867684	26.573248299570366	1	0.49125	55.82060790074459	37.03518554385386	2123.543701171875	9825	2	2602.062086513995	1272.4798982188295	3.7214249363867684	84
1	85	2503	1315	3	2474	1277	0	3306	2489.2893794749402	1292.8114558472553	0.8645584725536993	14.737544540870738	1	0.5069570477918935	40.17314076793896	24.168861147509507	880.119140625	1676	1	2489.2893794749402	1292.8114558472553	0.8645584725536993	85
1	86	2546	1333	10	2508	1289	0	16720	2527.767401469606	1310.0334001336005	4.897929191716766	24.269699223890104	1	0.44766746411483255	47.75677235776266	31.464439308851322	1431.9107666015625	7485	2	2527.767401469606	1310.0334001336005	4.897929191716766	86
1	87	1143	1327	4	1114	1302	0	2900	1127.3328519855595	1315.2375451263538	0.9898916967509025	13.829836645476874	1	0.47758620689655173	34.68920002605425	21.495868917037093	752.4296875	1385	1	1127.3328519855595	1315.2375451263538	0.9898916967509025	87
1	88	2488	1316	3	2474	1304	0	504	2482.9134615384614	1308.3509615384614	0.5	7.351143561296219	1	0.4126984126984127	17.594542717463366	12.04604499851379	209.6018524169922	208	0	2482.9134615384614	1308.3509615384614	0.5	88
1	89	1111	1339	5	1079	1314	0	4000	1094.0843486410497	1325.875351452671	1.458762886597938	15.973445252605751	1	0.5335	37.32385425132038	21.866464757630137	897.161865234375	2134	1	1094.0843486410497	1325.875351452671	1.458762886597938	89
1	90	2752	1359	10	2695	1317	0	23940	2722.2803599263143	1339.0276321383024	4.11839308488026	29.9836037817624	1	0.5895572263993316	66.94081615487843	36.55706412936742	2203.81640625	14114	3	2722.2803599263143	1339.0276321383024	4.11839308488026	90
1	91	2160	1351	3	2136	1325	0	1872	2147.642213642214	1337.1402831402831	0.44272844272844275	11.406195179405412	1	0.4150641025641026	32.42204395829697	20.32245272782931	562.5374755859375	777	1	2147.642213642214	1337.1402831402831	0.44272844272844275	91
1	92	2451	1377	4	2432	1345	0	2432	2440.8089552238807	1362.1805970149253	0.6537313432835821	10.856555581472675	0	0.2754934210526316	35.60455723762413	14.429835796083754	583.0074462890625	670	1	2440.8089552238807	1362.1805970149253	0.6537313432835821	92
1	93	1038	1384	6	995	1346	0	9804	1016.079302832244	1363.9851851851852	1.5760348583877997	20.619178313955274	1	0.46817625458996326	52.03800916763365	34.08768377390577	1658.518798828125	4590	2	1016.079302832244	1363.9851851851852	1.5760348583877997	93
1	94	2278	1374	10	2235	1341	0	14190	2257.8980023812674	1357.1363937028707	5.304140759359703	24.349417393326803	1	0.5326990838618746	48.660421318584135	29.172557412720575	1571.1822509765625	7559	2	2257.8980023812674	1357.1363937028707	5.304140759359703	94
1	95	1159	1387	10	1115	1351	0	15840	1135.5172637380451	1368.1604798184471	6.391635597341547	22.754748999948433	-2	0.3894570707070707	51.87554312943794	30.85637884253375	2162.328125	6169	1	1135.5172637380451	1368.1604798184471	6.391635597341547	95
1	96	1231	1411	3	1206	1381	0	2250	1218.0970873786407	1395.985436893204	0.45048543689320386	12.529859488859989	1	0.4577777777777778	36.62782977773937	23.47535399640356	709.8331298828125	1030	0	1218.0970873786407	1395.985436893204	0.45048543689320386	96
1	97	1200	1430	10	1162	1388	0	15960	1180.6020256181114	1406.7282295700527	4.410783437593089	26.793204439561684	1	0.6310150375939849	51.58889006155143	35.69878561823758	1398.150146484375	10071	2	1180.6020256181114	1406.7282295700527	4.410783437593089	97
1	98	1348	1412	2	1325	1394	0	828	1336.3866090712743	1402.0064794816415	0.3714902807775378	9.598295645850031	1	0.5591787439613527	26.654324419769065	14.63224633829413	381.0483093261719	463	0	1336.3866090712743	1402.0064794816415	0.3714902807775378	98
1	99	1124	1404	1	1119	1401	0	15	1121.1	1401.8	0.0	2.6730092351439514	1	0.6666666666666666	5.440588203494177	2.6520567234546397	21.04916000366211	10	0	1121.1	1401.8	0.0	99
1	100	2122	1426	10	2089	1398	0	9240	2102.4558160504957	1410.7880973850315	5.052299368800721	16.180339872009075	-3	0.24004329004329003	32.001306216518564	21.22799766706646	1352.921630859375	2218	1	2102.4558160504957	1410.7880973850315	5.052299368800721	100
1	101	2401	1420	7	2376	1401	0	3325	2389.713286713287	1410.2750582750582	2.7925407925407923	11.7895226687927	0	0.2580451127819549	24.928049853719763	16.0611535661588	782.2879638671875	858	2	2389.713286713287	1410.2750582750582	2.7925407925407923	101
1	102	2299	1420	1	2285	1411	0	126	2290.9864864864867	1415.2567567567567	0.0	5.208880160161783	1	0.5873015873015873	15.457758364167693	8.39506546998256	110.16865539550781	74	2	2290.9864864864867	1415.2567567567567	0.0	102
1	103	1040	1442	7	994	1412	0	9660	1016.1828757561657	1426.8217775709631	1.09818520241973	16.010783970165473	-4	0.22246376811594204	52.01863441362488	24.74367737631815	1476.9012451171875	2149	1	1016.1828757561657	1426.8217775709631	1.09818520241973	103
1	104	2080	1461	10	2032	1417	0	21120	2056.848001555966	1438.4422833803364	3.21978021978022	26.979904277549153	1	0.4868844696969697	58.5576089305634	39.68544332806509	2624.0712890625	10283	1	2056.848001555966	1438.4422833803364	3.21978021978022	104
1	105	1325	1452	10	1288	1421	0	11470	1304.8803179743854	1434.9774768143677	5.110702193434418	23.497464244923158	1	0.5922406277244987	43.53300604689994	30.82565338226546	1255.1046142578125	6793	1	1304.8803179743854	1434.9774768143677	5.110702193434418	105
1	106	2144	1481	10	2097	1427	0	25380	2122.5398535564855	1454.555020920502	4.981171548117155	26.332156242326555	0	0.37667454688731283	57.39001728100848	35.77267593196271	2678.47802734375	9560	3	2122.5398535564855	1454.555020920502	4.981171548117155	106
1	107	940	1499	5	897	1436	0	13545	916.8652358855375	1464.9450889404486	1.3691028615622582	21.456224170973265	0	0.38183831672203766	73.11420908834427	30.22451968324065	2268.873779296875	5172	2	916.8652358855375	1464.9450889404486	1.3691028615622582	107
1	108	2200	1479	2	2172	1457	0	1232	2184.478095238095	1467.2647619047618	0.2361904761904762	10.0089125259248	1	0.42613636363636365	32.47712391385747	18.86029955470494	517.5567016601562	525	2	2184.478095238095	1467.2647619047618	0.2361904761904762	108
1	109	1355	1518	10	1312	1474	0	18920	1333.5984930032294	1497.6202607343619	3.925248176055496	25.18178627951175	1	0.44191331923890065	52.075313166017075	34.78091985273469	1725.869384765625	8361	2	1333.5984930032294	1497.6202607343619	3.925248176055496	109
1	110	2584	1513	10	2543	1472	0	16810	2563.438915609969	1492.5721031919545	4.674070835155225	27.95197605129974	1	0.6802498512790006	54.66462286704504	38.51138705292343	1499.4571533203125	11435	2	2563.438915609969	1492.5721031919545	4.674070835155225	110
